CNAE,n_ocup_pond,renda_total_pond,n_empregador_pond,renda_empregador_pond,n_conta_propria_pond,renda_conta_propria_pond,Renda Média_Total,Renda Média_empregador,Renda Média_conta_propria,Trimestre
61000.0,12494.055353040001,0.0,2702.81621105,0.0,508.59611415,0.0,0.0,0.0,0.0,1T2021
62000.0,18784.69805024,0.0,0.0,0.0,5408.411063760001,0.0,0.0,,0.0,1T2021
63000.0,983.96258384,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
64000.0,30788.47197652,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
65000.0,1058.06361878,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
66001.0,478.68920426,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
66002.0,6179.565813769999,0.0,0.0,0.0,1811.7674231400001,0.0,0.0,,0.0,1T2021
68000.0,20765.18559104,0.0,0.0,0.0,7434.64789935,0.0,0.0,,0.0,1T2021
69000.0,32180.115938699997,0.0,0.0,0.0,15484.0481327,0.0,0.0,,0.0,1T2021
70000.0,1732.51445173,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
71000.0,8526.36830598,0.0,0.0,0.0,2909.9900636,0.0,0.0,,0.0,1T2021
73010.0,3257.50838091,0.0,0.0,0.0,400.51649404,0.0,0.0,,0.0,1T2021
73020.0,381.57712024,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
74000.0,7348.143686189999,0.0,0.0,0.0,7348.143686189999,0.0,0.0,,0.0,1T2021
75000.0,945.5160286400001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
77010.0,557.64158899,0.0,0.0,0.0,208.8684875,0.0,0.0,,0.0,1T2021
77020.0,5197.4365621,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
78000.0,33839.629727980006,0.0,0.0,0.0,873.05049866,0.0,0.0,,0.0,1T2021
79000.0,910.84566062,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
80000.0,21016.648854960004,0.0,0.0,0.0,2110.40145365,0.0,0.0,,0.0,1T2021
81011.0,19356.72432108,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
81012.0,20159.80924773,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
81020.0,17800.27537174,0.0,0.0,0.0,17800.27537174,0.0,0.0,,0.0,1T2021
82001.0,1599.06991075,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
82002.0,8637.61057632,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
